item_name,item_description,instore_price,barcodes
4head Effective Headache Relief Stick (Pack of 1),"Fast, effective headache relief without pills. Applied directly to the forehead, this stick contains levomenthol (90% w/w) which creates a cooling and tingling sensation, helping to dilate blood vessels and block pain signals. Non-greasy, colourless formula suitable for on-the-go use. Can be applied as needed without waiting 4 hours between applications.

Age Restrictions: Suitable for adults and children over 12 years.

Always read the Patient Information Leaflet before use.",5.8,5016379400001
4head Quickstrip (Pack of 4),"Advanced hydro-gel strip providing instant cooling relief for migraine and severe headache. Helps relax tense head and neck muscles. Each strip lasts up to 6 hours. Works without refrigeration and can be used with or without oral medication. Leaves no visible residue. Apply to forehead, back of neck or temples.

Age Restrictions: For adults, elderly and children over 12 years only.

Always read the Patient Information Leaflet before use.",4.5,5016379401015
Abidec Multivitamin Drops (25ml),"Abidec Multivitamin Drops (25ml) support, protect, and help maintain overall health and development in infants and young children. Its carefully balanced combination of essential vitamins contributes to normal growth, immune function, and healthy development. Ideal for daily use to supplement a child’s diet, these easy-to-administer drops provide gentle, effective nutritional support for little ones.
Age Restrictions – Suitable for infants from birth.
Always read the product information and usage guidelines before use.",8.2,5012616173004
Aero Assorted Plasters (Pack of 20),"Hypoallergenic plasters designed for sensitive skin with soft cushioned non-stick pads. These durable, air-permeable bandages provide flexibility and comfort while allowing wounds to breathe. Features secure adhesion that prevents lift-up. Latex-free and suitable for all skin types. Pack contains 20 assorted sizes: 4 small patches (3.8cm x 3.8cm), 4 extra-wide (2.5cm x 7.5cm), 8 standard (1.9cm x 7.2cm), and 4 spot plasters (2.25cm). Washproof and ideal for general wound protection.

Always read Patient Information Leaflet before use.",2.3,9341394007147
Aero Assorted Plasters (Pack of 40),"Washproof and hypoallergenic plasters designed for minor wound care and general applications. Features SupaSorb Wound Pad technology for superior absorption, reducing the need for frequent dressing changes and keeping wounds clean and comfortable. The SupaBond adhesive provides secure, lasting adhesion, preventing lift-up or edge curling even in challenging conditions. Made from air permeable materials that conform to the skin, allowing wounds to breathe as they heal. Latex-free, suitable for individuals with latex sensitivities. Assorted sizes included to cater to different wound care needs.

Always read Patient Information Leaflet before use.",5.1,9341394016408
Aero Burn Gel Dressing (10x10cm),"Sterile gel dressing for the treatment of burns, scalds, and sunburn. Offers immediate cooling to dissipate heat and reduce inflammation, helping prevent further tissue damage while relieving pain. The hydrogel formula hydrates the burn site and speeds up recovery faster than water alone. Non-adherent and non-toxic, ensuring minimal irritation. Can remain in place for up to 2 hours, providing effective relief with minimal attention.

Always read Patient Information Leaflet before use.",2.7,9341394004498
Aero Burn Gel Spray (50ml),"Provides effective treatment and fast relief from minor burns, scalds and sunburn. Rapidly cools the burn to minimise tissue damage and aid healing. Water-based, non-toxic gel creates a sterile barrier against contamination while providing ongoing pain relief. Contains Melaleuca Oil (tea tree) for natural antiseptic properties. Hygienic spray application reduces risk of secondary infection. Water soluble and easily rinsed off if further medical treatment is required.

Always read Patient Information Leaflet before use.",4,9341394005457
Aero Finger & Knuckle Plasters (Pack of 12),"Flexible fabric plasters designed for knuckle and fingertip protection. Pack contains 6 knuckle dressings (3.8cm x 7.5cm) and 6 fingertip dressings (4.5cm x 7.5cm). Features strong hypoallergenic adhesive, soft cushioned non-stick pad, and breathable latex-free material that promotes faster healing. Durable fabric conforms to high-mobility areas. Flesh-coloured for discreet protection. Ideal for small cuts and abrasions in active areas.

Always read Patient Information Leaflet before use.",5.7,9341394016293
Aero Non-adherant Dressings 10cmx10cm (Pack of 3),"Non-adherent wound dressings for treating cuts, grazes, and minor burns. Special non-stick film on both sides minimizes trauma to healing wounds and reduces pain during dressing changes. Highly absorbent SupaSorb technology manages wound exudate while protecting the wound bed. Non-adherent design prevents sticking to wounds, reducing risk of damaging newly formed tissue.

Always read Patient Information Leaflet before use.",5.6,9341394006089
Aero Non-adherant Dressings 5cmx5cm (Pack of 5),"Sterile non-adherent dressing pads designed for treating cuts, grazes, and minor burns. Features specialized SupaSorb technology with a premium absorbent core to effectively manage weeping and bleeding wounds. The special non-adherent film on both sides of the pad minimizes pain and wound trauma during dressing changes. Each pad is individually wrapped and sterile to maintain wound cleanliness. Size: 5cm x 5cm.

Always read Patient Information Leaflet before use.",4.2,9341394006072
